"Data Source","World Development Indicators",

"Last Updated Date","2015-11-12",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Comoros","COM","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","41.68144","39.34343","37.6848","41.86643","","47.37831","","","","","46.2144","","38.01422","38.52209","31.17927","34.76276","34.51549","36.4305","37.59977","35.69737","36.50326","39.90338","41.68662","44.81117","","52.07361","","","34.770679473877","36.8379287719727","","39.2007484436035","35.8576316833496","34.9878692626953","","","","30.1533203125","","","27.7467308044434","","27.8079605102539","","",
"Cabo Verde","CPV","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","38.23014","35.37616","","46.27715","42.31481","52.12711","45.95586","42.13739","37.90271","41.62679","40.10237","","","38.58201","","38.78701","33.62702","33.15381","33.00202","33.41272","36.83175","","","29.42153","","","","28.51103","28.6626396179199","28.7260208129883","28.2016201019287","28.7757091522217","27.9309997558594","26.8658905029297","26.0141105651855","25.3688507080078","24.8583602905273","24.3611106872559","23.9414100646973","23.6404094696045","23.2553806304932","22.9712390899658","22.9255504608154","","",
"Costa Rica","CRI","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","29.81041","29.52923","29.07381","28.89498","29.09919","29.06935","28.20913","","","26.72512","27.68133","33.02539","31.63091","31.9309","33.78534","31.48334","32.27696","31.48959","31.9293","32.28807","31.88081","32.19896","32.29903","32.44083","31.37283","30.60893","29.54329","28.61276","27.52934","26.8220691680908","24.9407501220703","24.3144207000732","22.5958499908447","","22.3457107543945","21.3428497314453","19.7072792053223","19.4939994812012","18.9745292663574","18.4043502807617","17.8516998291016","17.3420791625977","","16.4280109405518","","",
"Caribbean small states","CSS","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","35.199031829834","35.7279815673828","33.7896385192871","33.7508583068848","33.4811515808105","32.7490997314453","32.2354698181152","31.3656101226807","31.7689609527588","32.6612014770508","31.0580101013184","30.6280899047852","29.9324607849121","28.024829864502","28.1516304016113","27.898250579834","27.3985500335693","27.83424949646","27.3790493011475","27.2300300598145","27.3938407897949","27.3513507843018","27.1934604644775","26.5271091461182","26.7916603088379","26.6516494750977","26.2687091827393","25.884349822998","25.1034297943115","24.0073509216309","23.7930793762207","23.5664691925049","23.3539791107178","22.8814601898193","22.3501300811768","21.88503074646","21.1296901702881","20.0926494598389","20.5148105621338","19.8794994354248","19.4190998077393","19.4947204589844","19.0200901031494","18.4004993438721","","",
"Cuba","CUB","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","27.05996","28.5622","28.82339","26.1997","24.24474","23.17937","21.61838","19.63922","18.75056","17.91887","17.47407","16.96203","16.3521","15.37914","14.75258","13.96964","13.29788","12.68259","12.29152","12.319","12.51003","12.34485","12.37419","12.90747","13.57722","11.86058","11.7956","11.83972","11.7748003005981","11.4999799728394","10.7392196655273","13.5302801132202","10.6801099777222","10.2408304214478","10.3083696365356","9.97784042358398","9.64855003356934","9.61042022705078","9.43832969665527","9.12864971160889","9.11032962799072","9.05527973175049","9.06109046936035","","",
"Curacao","CUW","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","","","","","25.38636","","","18.83036","","","","","","","","","","","","","","","","","","","15.4593296051025","14.493670463562","15.1666698455811","14.9125003814697","","13.3904399871826","12.8063201904297","12.1014003753662","11.062689781189","12.0906095504761","","","12.0757598876953","13.310230255127","13.0362997055054","","",
"Cyprus","CYP","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","30.33333","28.90849","27.99215","27.65737","27.26131","26.9405","25.59686","23.77845","23.99867","22.99045","22.20748","20.92374","20.80054","21.0054","21.51726","22.77356","22.77666","21.96193","21.72401","21.37772","20.51548","19.31041","18.86012","18.78096","18.39116","18.73117","15.41195","","18.2678394317627","17.7250595092773","17.1945400238037","19.0256805419922","18.9418506622314","17.6072406768799","17.7270603179932","16.4626407623291","15.6302404403687","14.7529897689819","14.2405004501343","13.7530698776245","13.4415302276611","13.7746200561523","","","",
"Czech Republic","CZE","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","27.02685","27.02718","27.02701","27.02752","27.02692","27.02756","27.02749","29.41132","29.41173","","29.41175","29.4118","29.41233","29.41189","29.41146","29.41227","29.4121","29.41218","25.64486","24.48745","23.09835","22.13338","19.22587","19.64303","20.18596","19.10252","","17.67153","18.2895793914795","16.8854293823242","17.7102603912354","17.3542995452881","16.7940502166748","16.4127407073975","16.2455101013184","15.6576795578003","18.7278003692627","18.4750308990479","18.5008392333984","18.7071304321289","18.8212604522705","18.9743309020996","18.9317493438721","","",
"Germany","DEU","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.63115","16.22708","17.45831","17.04431","17.19019","17.44193","17.0228404998779","15.2833099365234","14.7645301818848","14.2935400009155","14.0477600097656","14.1900396347046","14.1223297119141","13.9637498855591","13.6284303665161","13.4974298477173","13.0022497177124","12.6838302612305","11.8241500854492","11.7140197753906","11.5802698135376","","",
